Idade,Anos_Experiencia,Escolaridade,Segunda_Lingua,Terceira_Lingua,Regiao,Profissao,Salario
,18.0,Superior,Nenhuma,Inglês,Centro-Oeste,Economista,7653.79
38.0,16.0,Superior,Alemão,Nenhuma,Norte,Cientista,9697.33
26.0,4.0,Doutorado,Nenhuma,Espanhol,Sudeste,Enfermeiro,7880.39
56.0,24.0,Superior,Inglês,Nenhuma,Sudeste,Arquiteto,19633.18
35.0,17.0,Superior,Alemão,Nenhuma,Sul,Professor,6251.07
21.0,7.0,Técnico,Inglês,Espanhol,Nordeste,Cientista,10514.84
42.0,26.0,Fundamental,Inglês,Nenhuma,Sudeste,Médico,13067.84
erro,14.0,Superior,Alemão,Inglês,Centro-Oeste,Médico,15132.41
26.0,12.0,Superior,Italiano,Espanhol,Sudeste,Técnico,6670.4
43.0,15.0,Superior,Alemão,Nenhuma,Sudeste,Policial,5843.9
,21.0,Fundamental,Inglês,Alemão,Sudeste,Arquiteto,8377.25
37.0,19.0,Mestrado,Inglês,Italiano,Sul,Designer,14095.22
45.0,12.0,Superior,Inglês,Nenhuma,Centro-Oeste,Técnico,5087.45
64.0,19.0,Superior,Nenhuma,Nenhuma,Sudeste,Médico,19746.15
24.0,1.0,Doutorado,Inglês,Espanhol,Sudeste,Cientista,17208.47
61.0,34.0,Técnico,Inglês,Espanhol,Norte,Advogado,14244.84
,18.0,Pós,Inglês,Inglês,Sudeste,Consultor,15038.85
64.0,36.0,Superior,Inglês,Nenhuma,Centro-Oeste,Vendedor,6304.31
52.0,5.0,Pós,Inglês,Nenhuma,Sudeste,Analista de Dados,12077.51
31.0,13.0,Superior,Alemão,Nenhuma,Sudeste,Técnico,6356.99
34.0,3.0,Técnico,Italiano,Alemão,Sudeste,Motorista,2368.36
53.0,21.0,Superior,Nenhuma,Nenhuma,Centro-Oeste,Administrador,6318.2
57.0,38.0,Técnico,Nenhuma,Espanhol,Nordeste,Técnico,4851.21
21.0,35.0,Médio,Nenhuma,Francês,Centro-Oeste,Técnico,4551.19
19.0,33.0,Mestrado,Inglês,Espanhol,Sudeste,Vendedor,8357.74
23.0,26.0,Superior,Inglês,Alemão,Norte,Advogado,17722.17
59.0,6.0,Mestrado,Inglês,Nenhuma,Sudeste,Enfermeiro,8233.66
21.0,2.0,Superior,Francês,Nenhuma,Centro-Oeste,Advogado,10840.92
46.0,32.0,Superior,Alemão,Inglês,Sudeste,Professor,11839.74
35.0,1.0,Doutorado,Francês,Nenhuma,Centro-Oeste,Designer,7473.39
43.0,15.0,Doutorado,Inglês,Nenhuma,Sudeste,Analista de Dados,19793.39
61.0,24.0,Técnico,Inglês,Nenhuma,Sul,Analista de Dados,13848.06
51.0,,Mestrado,Alemão,Espanhol,Sudeste,Motorista,4788.19
27.0,23.0,Técnico,Inglês,Nenhuma,Sudeste,Enfermeiro,6115.59
53.0,14.0,Médio,Italiano,Nenhuma,Sudeste,Vendedor,3138.21
31.0,30.0,Superior,Nenhuma,Nenhuma,Sul,Professor,9025.18
48.0,,Doutorado,Inglês,Francês,Sudeste,Administrador,14581.58
65.0,13.0,Doutorado,Italiano,Nenhuma,Sudeste,Arquiteto,21114.28
32.0,5.0,Médio,Alemão,Francês,Sul,Enfermeiro,4125.8
25.0,13.0,Pós,Inglês,Italiano,Sudeste,Consultor,12758.88
31.0,16.0,Mestrado,Inglês,Nenhuma,Centro-Oeste,Professor,10614.32
40.0,17.0,Técnico,Inglês,Nenhuma,Centro-Oeste,Técnico,4179.25
57.0,19.0,Superior,Francês,Inglês,Sudeste,Programador,14115.16
38.0,16.0,Superior,Inglês,Nenhuma,Nordeste,Pesquisador,10849.83
33.0,15.0,Médio,Nenhuma,Nenhuma,Sudeste,Enfermeiro,5252.6
62.0,39.0,Pós,Nenhuma,Alemão,Sudeste,Arquiteto,19050.32
35.0,38.0,Técnico,Inglês,Nenhuma,Sudeste,Designer,13143.22
64.0,31.0,Técnico,Inglês,Nenhuma,Sul,Engenheiro,22118.07
41.0,,Médio,Francês,Italiano,Centro-Oeste,Consultor,4795.99
43.0,26.0,Pós,Nenhuma,Espanhol,Sudeste,Vendedor,4628.81
42.0,32.0,Superior,Inglês,Nenhuma,Sudeste,Agrônomo,9549.05
62.0,9.0,Superior,Alemão,Espanhol,Nordeste,Economista,5260.37
58.0,16.0,Superior,Nenhuma,Nenhuma,Nordeste,Vendedor,3600.85
46.0,35.0,Médio,Inglês,Nenhuma,Sudeste,Programador,13426.51
32.0,16.0,Mestrado,Inglês,Nenhuma,Nordeste,Médico,20030.47
62.0,17.0,Superior,Nenhuma,Francês,Sul,Administrador,8520.36
18.0,22.0,Técnico,Inglês,Nenhuma,Sul,Analista de Dados,9994.24
42.0,33.0,Médio,Inglês,Inglês,Nordeste,Médico,16934.66
24.0,7.0,Médio,Inglês,Nenhuma,Sudeste,Consultor,5711.75
26.0,12.0,Doutorado,Inglês,Inglês,Nordeste,Pesquisador,22739.33
41.0,22.0,Superior,Nenhuma,Nenhuma,Nordeste,Professor,6007.32
18.0,19.0,Pós,Inglês,Nenhuma,Sudeste,Analista de Dados,16669.91
61.0,21.0,Médio,Nenhuma,Inglês,Nordeste,Professor,5924.76
25.0,22.0,Superior,Inglês,Nenhuma,Sudeste,Vendedor,5510.18
41.0,34.0,Doutorado,Inglês,Nenhuma,Centro-Oeste,Programador,22995.24
28.0,2.0,Técnico,Francês,Inglês,Sudeste,Administrador,5354.83
34.0,33.0,Superior,Nenhuma,Nenhuma,Nordeste,Analista de Dados,12580.38
25.0,32.0,Doutorado,Inglês,Nenhuma,Sudeste,Consultor,17262.51
52.0,16.0,Pós,Alemão,Espanhol,Centro-Oeste,Técnico,
52.0,18.0,Médio,Inglês,Nenhuma,Nordeste,Pesquisador,9296.36
,29.0,Técnico,Nenhuma,Inglês,Nordeste,Cientista,14739.31
22.0,22.0,Médio,Nenhuma,Nenhuma,Sul,Motorista,2784.86
59.0,14.0,Mestrado,Francês,Inglês,Centro-Oeste,Motorista,5298.21
56.0,13.0,Superior,Francês,Nenhuma,Sul,Médico,14451.83
58.0,1.0,Doutorado,Inglês,Inglês,Centro-Oeste,Cientista,20038.06
45.0,38.0,Fundamental,Inglês,Nenhuma,Sudeste,Cientista,15970.37
24.0,17.0,Superior,Inglês,Nenhuma,Sul,Designer,10284.93
26.0,5.0,Médio,Inglês,Inglês,Sudeste,Analista de Dados,8065.86
25.0,31.0,Técnico,Italiano,Inglês,Norte,Programador,12372.77
29.0,20.0,Médio,Inglês,Nenhuma,Nordeste,Enfermeiro,3949.7
51.0,39.0,Técnico,Inglês,Espanhol,Sul,Designer,9662.12
50.0,27.0,Mestrado,Nenhuma,Nenhuma,Sudeste,Médico,25966.07
65.0,26.0,Médio,Nenhuma,Espanhol,Sudeste,Professor,8363.57
40.0,1.0,Superior,Inglês,Espanhol,Norte,Vendedor,2791.96
41.0,32.0,Doutorado,Alemão,Nenhuma,Sudeste,Economista,19871.66
54.0,15.0,Doutorado,Inglês,Nenhuma,Centro-Oeste,Motorista,7766.14
52.0,38.0,Técnico,Inglês,Nenhuma,Sudeste,Agrônomo,9261.29
61.0,21.0,Doutorado,Inglês,Nenhuma,Nordeste,Enfermeiro,10355.51
57.0,12.0,Técnico,Nenhuma,Inglês,Sudeste,Engenheiro,13113.06
erro,xxx,Superior,Francês,Inglês,Sudeste,Arquiteto,8865.51
44.0,13.0,Mestrado,Italiano,Inglês,Sudeste,Consultor,11223.12
52.0,37.0,Pós,Inglês,Nenhuma,Centro-Oeste,Designer,10597.36
18.0,27.0,Mestrado,Inglês,Nenhuma,Centro-Oeste,Designer,11465.16
52.0,6.0,Mestrado,Inglês,Inglês,Sudeste,Designer,10830.97
54.0,17.0,Médio,Nenhuma,Nenhuma,Sudeste,Administrador,7026.16
64.0,35.0,Superior,Inglês,Nenhuma,Centro-Oeste,Motorista,5132.39
31.0,35.0,Técnico,Inglês,Inglês,Centro-Oeste,Designer,8734.14
20.0,3.0,Superior,Inglês,Italiano,Sul,Pesquisador,13267.43
18.0,29.0,Médio,Francês,Inglês,Centro-Oeste,Consultor,8041.89
22.0,23.0,Técnico,Inglês,Nenhuma,Sudeste,Agrônomo,7551.85
43.0,19.0,Mestrado,Inglês,Italiano,Sul,Analista de Dados,15893.28
31.0,30.0,Mestrado,Inglês,Nenhuma,Sudeste,Enfermeiro,11226.69
56.0,23.0,Superior,Alemão,Nenhuma,Centro-Oeste,Professor,7871.15
erro,6.0,Superior,Alemão,Nenhuma,Nordeste,Advogado,9212.72
26.0,25.0,Pós,Nenhuma,Espanhol,Sul,Agrônomo,7917.65
32.0,12.0,Superior,Inglês,Italiano,Sudeste,Motorista,4018.41
32.0,7.0,Doutorado,Nenhuma,Nenhuma,Sudeste,Agrônomo,8604.53
43.0,4.0,Médio,Inglês,Alemão,Sudeste,Programador,10032.77
59.0,12.0,Superior,Inglês,Nenhuma,Sudeste,Pesquisador,17528.83
30.0,28.0,Doutorado,Francês,Nenhuma,Sul,Agrônomo,12568.91
49.0,19.0,Doutorado,Alemão,Nenhuma,Sul,Motorista,144065.40000000002
56.0,13.0,Superior,Inglês,Inglês,Norte,Designer,6361.04
49.0,31.0,Médio,Francês,Nenhuma,Sudeste,Cientista,16045.49
21.0,26.0,Mestrado,Inglês,Espanhol,Sudeste,Programador,25292.68
47.0,24.0,Superior,Francês,Nenhuma,Sul,Administrador,7110.29
54.0,3.0,Pós,Francês,Nenhuma,Norte,Cientista,10230.79
40.0,20.0,Superior,Inglês,Espanhol,Sudeste,Enfermeiro,7682.69
,17.0,Médio,Inglês,Alemão,Sudeste,Cientista,13601.36
62.0,38.0,Fundamental,Inglês,Nenhuma,Sudeste,Cientista,14731.23
32.0,14.0,Superior,Inglês,Italiano,Nordeste,Pesquisador,11210.28
60.0,37.0,Médio,Inglês,Nenhuma,Sudeste,Motorista,5986.38
46.0,23.0,Médio,Inglês,Nenhuma,Nordeste,Economista,6578.82
53.0,7.0,Superior,Inglês,Inglês,Sudeste,Arquiteto,13697.18
30.0,27.0,Superior,Inglês,Nenhuma,Sudeste,Policial,8423.38
49.0,20.0,Técnico,Alemão,Espanhol,Sudeste,Professor,7505.05
24.0,15.0,Médio,Alemão,Espanhol,Sudeste,Programador,9494.54
39.0,15.0,Doutorado,Italiano,Espanhol,Centro-Oeste,Economista,10320.18
45.0,34.0,Médio,Inglês,Nenhuma,Nordeste,Professor,7477.25
19.0,16.0,Técnico,Inglês,Inglês,Norte,Pesquisador,10345.07
59.0,8.0,Técnico,Francês,Nenhuma,Norte,Motorista,2394.97
62.0,34.0,Mestrado,Nenhuma,Nenhuma,Centro-Oeste,Advogado,25928.41
23.0,28.0,Superior,Nenhuma,Italiano,Norte,Designer,8257.4
45.0,38.0,Médio,Alemão,Alemão,Nordeste,Pesquisador,13879.4
45.0,17.0,Fundamental,Francês,Nenhuma,Nordeste,Agrônomo,2297.16
61.0,xxx,Pós,Alemão,Nenhuma,Sudeste,Programador,11264.25
61.0,18.0,Pós,Inglês,Espanhol,Sudeste,Cientista,391014.0
37.0,21.0,Superior,Francês,Nenhuma,Sudeste,Programador,11775.05
47.0,xxx,Médio,Inglês,Nenhuma,Sudeste,Pesquisador,12402.49
28.0,0.0,Técnico,Inglês,Nenhuma,Sudeste,Vendedor,3338.63
,1.0,Superior,Italiano,Nenhuma,Sul,Advogado,11854.67
42.0,7.0,Pós,Nenhuma,Nenhuma,Centro-Oeste,Motorista,2982.78
56.0,21.0,Médio,Inglês,Nenhuma,Sudeste,Analista de Dados,11372.54
50.0,24.0,Superior,Italiano,Inglês,Sudeste,Analista de Dados,12481.12
18.0,1.0,Técnico,Inglês,Nenhuma,Sudeste,Analista de Dados,7106.9
44.0,8.0,Superior,Inglês,Nenhuma,Sudeste,Agrônomo,6034.51
30.0,8.0,Superior,Francês,Nenhuma,Sudeste,Designer,7542.2
58.0,,Doutorado,Nenhuma,Italiano,Sul,Policial,9818.29
20.0,5.0,Superior,Inglês,Nenhuma,Centro-Oeste,Motorista,3151.19
56.0,29.0,Superior,Italiano,Francês,Sudeste,Consultor,9531.72
23.0,14.0,Técnico,Inglês,Nenhuma,Nordeste,Médico,11136.82
25.0,14.0,Técnico,Nenhuma,Inglês,Sudeste,Professor,6972.54
44.0,6.0,Fundamental,Italiano,Nenhuma,Sul,Analista de Dados,5630.9
26.0,10.0,Técnico,Italiano,Nenhuma,Sudeste,Programador,9154.19
54.0,39.0,Médio,Nenhuma,Francês,Sudeste,Motorista,5331.95
50.0,37.0,Doutorado,Inglês,Inglês,Nordeste,Técnico,11517.08
59.0,39.0,Superior,Inglês,Inglês,Sul,Motorista,erro
61.0,1.0,Médio,Francês,Nenhuma,Sul,Economista,4755.86
41.0,38.0,Médio,Alemão,Inglês,Sudeste,Analista de Dados,11951.63
32.0,9.0,Técnico,Italiano,Italiano,Sul,Consultor,4415.85
49.0,16.0,Técnico,Inglês,Nenhuma,Sudeste,Pesquisador,14776.15
49.0,6.0,Técnico,Italiano,Inglês,Sul,Economista,6058.93
41.0,39.0,Superior,Italiano,Nenhuma,Sul,Cientista,18068.52
58.0,38.0,Doutorado,Inglês,Espanhol,Nordeste,Cientista,28361.67
29.0,3.0,Superior,Alemão,Inglês,Centro-Oeste,Agrônomo,4493.95
56.0,34.0,Superior,Inglês,Nenhuma,Nordeste,Cientista,18678.17
19.0,35.0,Mestrado,Nenhuma,Nenhuma,Nordeste,Motorista,4898.2
20.0,30.0,Fundamental,Inglês,Espanhol,Sudeste,Analista de Dados,11851.9
54.0,,Médio,Inglês,Inglês,Centro-Oeste,Professor,8235.33
34.0,12.0,Superior,Inglês,Alemão,Sul,Arquiteto,11161.99
19.0,17.0,Pós,Inglês,Espanhol,Norte,Vendedor,4244.5
19.0,20.0,Superior,Francês,Francês,Norte,Enfermeiro,5118.07
45.0,0.0,Médio,Nenhuma,Inglês,Sul,Pesquisador,7508.57
40.0,35.0,Doutorado,Alemão,Nenhuma,Nordeste,Designer,14029.37
54.0,7.0,Técnico,Inglês,Espanhol,Norte,Agrônomo,3843.62
49.0,20.0,Pós,Inglês,Nenhuma,Centro-Oeste,Médico,18363.37
50.0,20.0,Mestrado,Inglês,Nenhuma,Nordeste,Engenheiro,21622.15
18.0,26.0,Técnico,Inglês,Inglês,Norte,Pesquisador,11348.61
36.0,18.0,Mestrado,Inglês,Nenhuma,Sudeste,Programador,erro
19.0,22.0,Pós,Francês,Nenhuma,Nordeste,Agrônomo,5165.37
61.0,34.0,Doutorado,Inglês,Inglês,Sul,Agrônomo,13880.46
43.0,xxx,Técnico,Francês,Inglês,Centro-Oeste,Motorista,3483.53
49.0,4.0,Doutorado,Alemão,Nenhuma,Nordeste,Cientista,erro
23.0,7.0,Médio,Inglês,Nenhuma,Sudeste,Designer,6813.94
49.0,10.0,Pós,Nenhuma,Nenhuma,Sul,Agrônomo,5079.98
21.0,15.0,Superior,Inglês,Nenhuma,Norte,Administrador,7185.0
28.0,38.0,Médio,Inglês,Nenhuma,Nordeste,Designer,7587.84
34.0,23.0,Médio,Nenhuma,Francês,Sudeste,Agrônomo,5229.42
55.0,20.0,Técnico,Inglês,Espanhol,Sudeste,Designer,9874.14
41.0,22.0,Técnico,Inglês,Inglês,Norte,Motorista,3607.02
22.0,37.0,Médio,Inglês,Espanhol,Centro-Oeste,Consultor,8371.9
51.0,7.0,Médio,Inglês,Alemão,Sul,Cientista,10412.42
23.0,6.0,Técnico,Alemão,Nenhuma,Sul,Enfermeiro,3444.25
39.0,1.0,Superior,Nenhuma,Nenhuma,Centro-Oeste,Policial,3960.48
28.0,29.0,Superior,Alemão,Nenhuma,Nordeste,Motorista,3220.62
65.0,12.0,Mestrado,Francês,Nenhuma,Sudeste,Policial,6833.47
33.0,22.0,Superior,Francês,Nenhuma,Norte,Analista de Dados,10692.91
50.0,28.0,Fundamental,Nenhuma,Alemão,Nordeste,Arquiteto,6068.77
26.0,37.0,Superior,Francês,Nenhuma,Nordeste,Técnico,5334.5
23.0,36.0,Pós,Nenhuma,Inglês,Nordeste,Analista de Dados,15829.38
erro,19.0,Médio,Inglês,Francês,Nordeste,Designer,5905.16
46.0,32.0,Superior,Inglês,Inglês,Sudeste,Analista de Dados,21842.78
20.0,28.0,Superior,Inglês,Nenhuma,Sudeste,Vendedor,6476.69
37.0,14.0,Doutorado,Nenhuma,Nenhuma,Sul,Enfermeiro,7257.16
53.0,xxx,Superior,Inglês,Nenhuma,Sudeste,Analista de Dados,15661.53
36.0,2.0,Pós,Italiano,Nenhuma,Sudeste,Engenheiro,16613.86
43.0,36.0,Técnico,Alemão,Nenhuma,Centro-Oeste,Economista,7031.41
20.0,28.0,Pós,Nenhuma,Nenhuma,Sul,Pesquisador,16104.58
36.0,7.0,Técnico,Italiano,Francês,Norte,Agrônomo,3519.48
37.0,21.0,Superior,Francês,Espanhol,Sudeste,Técnico,6458.65
49.0,28.0,Superior,Nenhuma,Nenhuma,Nordeste,Engenheiro,13764.51
24.0,1.0,Doutorado,Nenhuma,Inglês,Sudeste,Arquiteto,14461.53
58.0,0.0,Médio,Inglês,Nenhuma,Sul,Cientista,178741.19999999998
50.0,19.0,Médio,Nenhuma,Inglês,Nordeste,Professor,5155.91
57.0,20.0,Pós,Inglês,Nenhuma,Norte,Advogado,21671.4
56.0,36.0,Superior,Italiano,Nenhuma,Centro-Oeste,Professor,8353.19
35.0,7.0,Técnico,Inglês,Nenhuma,Sudeste,Enfermeiro,5173.23
57.0,26.0,Técnico,Inglês,Inglês,Sudeste,Cientista,14941.42
18.0,34.0,Técnico,Nenhuma,Espanhol,Norte,Vendedor,3381.71
28.0,5.0,Superior,Francês,Inglês,Nordeste,Vendedor,2777.04
45.0,18.0,Mestrado,Inglês,Inglês,Centro-Oeste,Motorista,5668.51
42.0,17.0,Fundamental,Inglês,Nenhuma,Norte,Cientista,7328.82
40.0,0.0,Mestrado,Nenhuma,Espanhol,Sul,Designer,6134.56
48.0,24.0,Superior,Inglês,Inglês,Sudeste,Arquiteto,20273.17
47.0,26.0,Médio,Inglês,Inglês,Centro-Oeste,Programador,13537.25
59.0,6.0,Superior,Alemão,Nenhuma,Sul,Vendedor,3445.86
52.0,28.0,Superior,Inglês,Nenhuma,Sudeste,Técnico,9887.51
24.0,30.0,Fundamental,Alemão,Nenhuma,Sudeste,Programador,8990.7
33.0,35.0,Pós,Inglês,Francês,Nordeste,Programador,18156.95
43.0,18.0,Pós,Inglês,Italiano,Nordeste,Administrador,8042.07
65.0,5.0,Médio,Nenhuma,Nenhuma,Centro-Oeste,Programador,6851.98
19.0,24.0,Médio,Nenhuma,Nenhuma,Sudeste,Técnico,4237.32
18.0,30.0,Médio,Nenhuma,Inglês,Sul,Policial,4987.76
65.0,8.0,Pós,Italiano,Nenhuma,Nordeste,Cientista,10732.86
29.0,19.0,Técnico,Inglês,Nenhuma,Sul,Economista,6836.69
22.0,9.0,Pós,Inglês,Inglês,Centro-Oeste,Administrador,9214.06
54.0,36.0,Superior,Italiano,Inglês,Nordeste,Administrador,10384.96
49.0,26.0,Pós,Inglês,Nenhuma,Nordeste,Policial,9192.96
26.0,12.0,Superior,Inglês,Nenhuma,Sudeste,Advogado,15889.73
58.0,1.0,Técnico,Inglês,Italiano,Sudeste,Policial,4037.65
52.0,20.0,Doutorado,Inglês,Italiano,Sudeste,Vendedor,9389.02
36.0,xxx,Pós,Inglês,Nenhuma,Sudeste,Cientista,22526.59
65.0,23.0,Superior,Inglês,Nenhuma,Norte,Enfermeiro,5839.03
erro,33.0,Superior,Nenhuma,Nenhuma,Sudeste,Engenheiro,23155.52
20.0,8.0,Superior,Inglês,Nenhuma,Sudeste,Consultor,7882.47
,1.0,Técnico,Alemão,Inglês,Norte,Cientista,6098.32
41.0,29.0,Superior,Inglês,Nenhuma,Sul,Cientista,17363.0
erro,21.0,Técnico,Nenhuma,Nenhuma,Norte,Vendedor,2284.79
41.0,10.0,Doutorado,Francês,Nenhuma,Sudeste,Cientista,22463.02
28.0,16.0,Superior,Inglês,Nenhuma,Sudeste,Técnico,5939.12
25.0,35.0,Médio,Inglês,Nenhuma,Sul,Policial,6880.45
53.0,12.0,Superior,Alemão,Nenhuma,Centro-Oeste,Administrador,7363.33
55.0,6.0,Fundamental,Inglês,Nenhuma,Sudeste,Designer,5304.26
57.0,15.0,Técnico,Inglês,Nenhuma,Sudeste,Programador,9850.62
37.0,32.0,Superior,Inglês,Alemão,Sul,Vendedor,6707.6
52.0,0.0,Superior,Inglês,Nenhuma,Sudeste,Advogado,14875.16
65.0,10.0,Doutorado,Inglês,Nenhuma,Nordeste,Policial,7860.48
42.0,5.0,Doutorado,Inglês,Nenhuma,Sul,Administrador,10023.5
52.0,19.0,Médio,Inglês,Nenhuma,Sudeste,Técnico,6547.02
42.0,xxx,Superior,Nenhuma,Francês,Norte,Enfermeiro,erro
46.0,36.0,Mestrado,Nenhuma,Nenhuma,Nordeste,Pesquisador,21820.44
,25.0,Médio,Inglês,Italiano,Sul,Policial,5693.75
63.0,11.0,Pós,Inglês,Inglês,Sudeste,Médico,19802.81
35.0,29.0,Mestrado,Nenhuma,Alemão,Nordeste,Administrador,10430.88
19.0,27.0,Superior,Italiano,Espanhol,Nordeste,Administrador,7744.4
52.0,26.0,Técnico,Nenhuma,Nenhuma,Nordeste,Vendedor,2802.12
33.0,18.0,Doutorado,Inglês,Nenhuma,Centro-Oeste,Professor,13355.83
58.0,4.0,Mestrado,Inglês,Francês,Sul,Médico,16706.75
53.0,4.0,Pós,Nenhuma,Nenhuma,Centro-Oeste,Administrador,7380.92
50.0,26.0,Técnico,Inglês,Espanhol,Sudeste,Vendedor,4973.79
erro,27.0,Pós,Francês,Nenhuma,Nordeste,Médico,15298.81
50.0,25.0,Técnico,Italiano,Nenhuma,Sudeste,Advogado,
31.0,26.0,Técnico,Nenhuma,Nenhuma,Centro-Oeste,Engenheiro,13111.74
38.0,20.0,Superior,Nenhuma,Inglês,Nordeste,Designer,6093.73
65.0,0.0,Doutorado,Inglês,Nenhuma,Sudeste,Administrador,11114.67
37.0,27.0,Mestrado,Inglês,Nenhuma,Sul,Advogado,33337.39
25.0,14.0,Pós,Inglês,Alemão,Centro-Oeste,Designer,11099.19
24.0,16.0,Superior,Nenhuma,Italiano,Sudeste,Administrador,9450.88
20.0,25.0,Técnico,Inglês,Nenhuma,Centro-Oeste,Economista,6586.67
34.0,19.0,Mestrado,Inglês,Nenhuma,Norte,Professor,9668.35
50.0,24.0,Superior,Nenhuma,Nenhuma,Centro-Oeste,Policial,5886.71
65.0,12.0,Mestrado,Alemão,Inglês,Sudeste,Cientista,20912.56
29.0,32.0,Superior,Nenhuma,Nenhuma,Nordeste,Médico,15709.82
39.0,24.0,Pós,Alemão,Inglês,Sul,Pesquisador,17598.79
39.0,7.0,Mestrado,Inglês,Italiano,Sudeste,Advogado,19968.87
63.0,4.0,Técnico,Inglês,Inglês,Centro-Oeste,Programador,9573.41
47.0,5.0,Fundamental,Inglês,Nenhuma,Sudeste,Policial,3241.18
55.0,22.0,Técnico,Inglês,Inglês,Centro-Oeste,Advogado,13001.18
55.0,29.0,Doutorado,Francês,Alemão,Norte,Policial,11354.0
62.0,13.0,Superior,Inglês,Nenhuma,Norte,Programador,8907.47
25.0,22.0,Pós,Inglês,Inglês,Centro-Oeste,Arquiteto,17794.04
44.0,10.0,Técnico,Alemão,Nenhuma,Nordeste,Economista,3855.98
44.0,30.0,Pós,Nenhuma,Francês,Centro-Oeste,Vendedor,5146.34
51.0,5.0,Superior,Nenhuma,Francês,Sudeste,Enfermeiro,5251.77
38.0,10.0,Médio,Alemão,Nenhuma,Centro-Oeste,Motorista,2675.77
47.0,12.0,Doutorado,Inglês,Nenhuma,Sudeste,Engenheiro,25017.95
50.0,11.0,Técnico,Nenhuma,Nenhuma,Sul,Técnico,4630.8
45.0,1.0,Técnico,Francês,Nenhuma,Sudeste,Designer,5834.63
64.0,34.0,Técnico,Nenhuma,Nenhuma,Sudeste,Técnico,
50.0,35.0,Médio,Alemão,Nenhuma,Sul,Agrônomo,4957.64
22.0,16.0,Superior,Inglês,Nenhuma,Centro-Oeste,Consultor,9522.19
,,Médio,Nenhuma,Nenhuma,Nordeste,Pesquisador,9983.01
36.0,27.0,Mestrado,Alemão,Nenhuma,Sudeste,Advogado,29047.82
21.0,21.0,Técnico,Inglês,Inglês,Norte,Programador,11967.17
52.0,37.0,Superior,Inglês,Nenhuma,Centro-Oeste,Enfermeiro,7737.21
34.0,6.0,Superior,Inglês,Espanhol,Nordeste,Enfermeiro,4129.6
61.0,14.0,Pós,Italiano,Nenhuma,Sul,Designer,8990.89
